image_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,cluster,mood_text
gacs_advertisements_00_-P6q0A9K_scene_00,-1.7339516,12.2476845,-9.304114,-9.662154,-2.7591956,-3.7119362,-5.5879307,-7.816445,4.8765984,-6.635622,2.180274,0.026688738,-7.757711,-3.4355643,3,"futuristic, excited, enthusiastic, vibrant, intrigued"
gacs_advertisements_00_-P6q0A9K_scene_09,-7.0485516,9.9010935,-10.420196,-5.9625125,-2.6655288,0.7640099,-5.592283,-7.9586186,7.470408,-2.8620548,2.8703227,1.1372524,-6.6988597,-3.4282632,3,"futuristic, excited, modern, vibrant, energetic"
gacs_advertisements_00_-avONMmQ_scene_05,-17.74015,-3.1258602,5.6794157,1.6327752,0.94280136,-0.79075,-1.3606813,2.2512972,-2.2890558,-0.8371828,1.8887312,-0.48513207,-0.8131672,-1.8558767,0,"calm, whimsical, wintry, playful, serene"
gacs_advertisements_00_-avONMmQ_scene_14,-15.199204,6.4807115,-2.9349675,3.9879706,-1.2468662,-6.2056794,-0.09496256,-2.699669,0.27923632,0.26468945,1.9044992,-0.09187957,1.8936293,1.3112212,0,"joyful, playful, whimsical, cheerful, lively"
gacs_advertisements_00_fo4LLux-_scene_03,-15.778175,-8.082545,9.802004,3.1636245,4.137988,3.5697496,-4.227009,3.1228173,-1.2724439,-0.20985354,-0.76629025,0.65275764,-0.6509263,-0.48478782,0,"intense, focused, serene, contemplative, calm"
gacs_advertisements_00_fo4LLux-_scene_12,-16.359571,-6.922186,10.642014,2.2489452,4.435896,4.081924,-3.441593,3.018716,-0.99706185,-0.8978908,-0.124175146,-0.012333264,-0.7578481,-0.37976485,0,"thoughtful, serene, calm, reflective, peaceful"
gacs_advertisements_01_9G5luoju_scene_06,-4.0823984,-3.050981,-4.408709,-3.6487567,-4.3753667,0.2824859,-7.7804766,-7.564523,1.3279021,-0.9474112,4.294094,4.0986004,-0.46116516,0.14886391,3,"focused, energetic, anticipatory, concentrated, determined"
gacs_advertisements_01_DnWykPvf_scene_02,-5.922676,11.449837,-1.377224,-2.1313407,-4.1476073,-3.1572707,6.1196156,4.895824,-5.962048,2.3061845,4.045948,2.7690477,0.7277844,-2.087678,3,"humorous, playful, creative, surreal, lighthearted"
gacs_advertisements_01_aDoT6K3B_scene_04,-16.372763,-2.1555748,2.0618522,3.170641,0.40660962,-4.021139,-0.15275824,0.19571775,1.1389942,0.4787878,-0.5408538,-1.4120754,2.7948344,2.0370448,0,"cheerful, relaxed, playful, sunny, carefree"
gacs_advertisements_01_jBnseji3_scene_00,-3.530154,8.350651,-4.317893,1.3221146,-9.262235,-0.05505647,-1.0253345,0.85463166,-6.407903,-4.372284,-4.2454042,-0.6312015,-1.2276193,-0.8507002,3,"daring, energetic, thrilling, adventurous, dynamic"
gacs_advertisements_01_jBnseji3_scene_09,-13.765236,14.26378,-8.146841,6.351123,1.2441832,-0.0039880536,-0.5118874,-6.677149,1.8923594,0.664533,0.40042394,3.16004,-5.5130525,-1.0556093,0,"joyful, celebratory, hopeful, supportive, inspirational"
gacs_advertisements_02_DsonSEll_scene_03,7.3448086,3.612361,2.1154516,-7.7583623,-13.078261,2.3812795,-4.4733276,3.3805933,-5.8693957,-11.830041,-3.1470537,-3.822339,-3.1311655,3.5115435,3,"futuristic, adventurous, rugged, isolated, dramatic"
gacs_advertisements_02_VGa1imAp_scene_01,-17.394337,-4.986552,5.712751,2.940599,1.6684941,2.0422764,-3.3626375,1.5941982,-1.0365863,-1.3057827,-1.4779739,-0.36945185,-0.7269402,0.2919985,0,"calm, focused, creative, serene, studious"
gacs_advertisements_02_VGa1imAp_scene_10,-16.134947,7.4275274,4.471482,5.7580466,-1.4088593,3.2441769,1.1837419,3.0978055,-1.7413282,-1.8021642,-1.0575923,1.0999469,-1.4937665,-0.6480367,0,"nostalgic, whimsical, tranquil, serene, enchanting"
gacs_advertisements_02_YG8kLlRw_scene_00,0.364803,-19.715027,-5.778257,-7.235477,-2.5875852,-10.606204,-3.7514365,-0.85922617,-2.025542,4.495458,-4.036075,2.7267833,1.2353086,0.102379285,1,"tense, focused, collaborative, busy, professional"
gacs_advertisements_02_YG8kLlRw_scene_09,-11.657844,2.5266676,-1.5284598,-4.0844336,-0.7925546,-0.9704709,0.3882873,3.4992902,2.2134883,0.084058605,1.9518703,-1.767525,2.3888524,0.57893103,0,"playful, relaxed, colorful, contrasting, vibrant"
gacs_advertisements_03_9Bo2OIxp_scene_03,27.004562,12.9343405,-7.1791887,0.77454025,9.877148,6.4424453,-2.9177105,1.1485646,-4.9799356,9.077787,0.7389019,1.1517893,-0.12233542,7.1541405,2,"emotional, intense, overwhelmed, dramatic, compelling"
gacs_advertisements_03_9Bo2OIxp_scene_12,-7.729382,-14.362365,8.870763,-7.488751,5.1542635,5.9349394,-0.91318166,-4.36268,-4.298967,4.5702295,2.110454,0.21981305,2.031803,-4.564264,0,"serious, thoughtful, reflective, calm, introspective"
gacs_advertisements_03_Uoj6rlUk_scene_08,-0.14829597,-13.300972,10.120615,-14.934156,3.6336365,-4.3959327,-4.724465,0.02539221,-0.61942065,1.5728456,-0.85494065,-1.686876,0.7494154,7.1978927,1,"calm, delicate, focused, gentle, meticulous"
