original,normalized
communicative serious digital ambient man screen uniform buttons lights contemporary digital screen-based,"mood: communicative, seriousness, urban, ambient. style: contemporary, digital, screen-based. objects: man, screen, uniform, buttons, lights"
surprised comical watchful curious man hallway sweater painting furniture cinematic interior comedic,"mood: surprised, amusement, focus, contemplation. style: cinematic, interior, comedic. objects: man, hallway, sweater, painting, furniture"
bewildered concerned slightly tense awkward man car steering wheel beanie seatbelt cinematic cool-toned naturalistic,"mood: bewildered, concerned, slightly tense, awkward. style: cinematic, cool-toned, naturalistic. objects: man, car, steering wheel, beanie, seatbelt"
festive peaceful urban cozy buildings street cars people lights nighttime cinematic urban,"mood: celebration, calm, urban, contentment. style: nighttime, cinematic, urban. objects: buildings, street, cars, people, lights"
serious conversational focused concerned woman person sofa blazer necklace cinematic naturalistic contemporary,"mood: seriousness, conversational, focus, concerned. style: cinematic, naturalistic, contemporary. objects: woman, person, sofa, blazer, necklace"
serious concerned formal attentive woman man backpack couch cinematic contemporary indoor,"mood: seriousness, concerned, focus. style: cinematic, contemporary, indoor. objects: woman, man, backpack, couch"
festive grand elegant serene christmas tree person staircase balcony lamp opulent warm-lit cinematic,"mood: celebration, wonder, elegance, calm. style: opulent, warm-lit, cinematic. objects: christmas tree, person, staircase, balcony, lamp"
festive cozy warm serene christmas tree ornaments string lights pine needles festive bokeh cinematic,"mood: celebration, contentment, warmth, calm. style: festive, bokeh, cinematic. objects: christmas tree, ornaments, string lights, pine needles"
perplexed uneasy domestic awkward man apron shelves bonsai books cinematic modern warm-lit,"mood: perplexed, tension, domesticity, awkward. style: cinematic, modern, warm-lit. objects: man, apron, shelves, bonsai, books"
concerned dazed ordinary chilly man baby shopping cart hats park naturalistic candid contemporary,"mood: concerned, dazed, neutral, chilly. style: naturalistic, candid, contemporary. objects: man, baby, shopping cart, hats, park"
humorous peculiar whimsical mild man baby shopping cart park trees cinematic naturalistic muted,"mood: amusement, peculiar, calm. style: cinematic, naturalistic, muted. objects: man, baby, shopping cart, park, trees"
tragic desperate chaotic haunting desolate woman stairs building fire dress cinematic high-contrast grim,"mood: sadness, vulnerability, chaos, darkness, loneliness. style: cinematic, high-contrast, grim. objects: woman, stairs, building, fire, dress"
tense critical urgent clinical monitor screen waveform numbers light clinical modern dramatic,"mood: tension, critical, urgent, informative. style: clinical, modern, dramatic. objects: monitor, screen, waveform, numbers, light"
helpless somber anxious critical woman bed hospital gown medical equipment wrist restraint low-key cool-toned cinematic,"mood: vulnerability, sadness, tension, critical. style: low-key, cool-toned, cinematic. objects: woman, bed, hospital gown, medical equipment, wrist restraint"
distressed confined somber hands handcuffs bandage wristband gown cinematic dark realistic,"mood: distressed, confined, sadness. style: cinematic, dark, realistic. objects: hands, handcuffs, bandage, wristband, gown"
serious formal calm stately subdued mansion trees cars flagpoles lawn cinematic naturalistic overcast,"mood: seriousness, calm, weariness. style: cinematic, naturalistic, overcast. objects: mansion, trees, cars, flagpoles, lawn"
serious commanding intense dramatic man robe window hand shirt cinematic naturalistic indoor,"mood: seriousness, tension, dramatic. style: cinematic, naturalistic, indoor. objects: man, robe, window, hand, shirt"
tense anxious distressed suspenseful women trees forest bandage dress cinematic naturalistic gritty,"mood: tension, distressed. style: cinematic, naturalistic, gritty. objects: women, trees, forest, bandage, dress"
serious intense pensive somber man person shirt chain foliage cinematic naturalistic subdued,"mood: seriousness, tension, contemplation, sadness. style: cinematic, naturalistic, subdued. objects: man, person, shirt, chain, foliage"
