image_id,image_path,claude_moods,gpt4o_moods,gemini_moods
gacs_advertisements_00_-P6q0A9K_scene_00,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_00_-P6q0A9K_scene_00.jpg,"futuristic, exciting, innovative, modern, sleek","futuristic, excited, enthusiastic, vibrant, intrigued","excited, informative, modern, sleek, optimistic"
gacs_advertisements_00_-P6q0A9K_scene_09,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_00_-P6q0A9K_scene_09.jpg,"informative, modern, digital, anticipatory, upbeat","futuristic, excited, modern, vibrant, energetic","enthusiastic, informative, futuristic, sleek, modern"
gacs_advertisements_00_-avONMmQ_scene_05,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_00_-avONMmQ_scene_05.jpg,"cold, peaceful, wintry, enchanted","calm, whimsical, wintry, playful, serene","whimsical, curious, serene, peaceful, innocent"
gacs_advertisements_00_-avONMmQ_scene_14,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_00_-avONMmQ_scene_14.jpg,"joyful, energetic, lively, boisterous","joyful, playful, whimsical, cheerful, lively","excited, joyful, chaotic, absurd, wild"
gacs_advertisements_00_fo4LLux-_scene_03,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_00_fo4LLux-_scene_03.jpg,"calm, neutral, focused, pensive","intense, focused, serene, contemplative, calm","intense, focused, vulnerable, unsettling, intimate"
gacs_advertisements_00_fo4LLux-_scene_12,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_00_fo4LLux-_scene_12.jpg,"serene, thoughtful, calm, elegant","thoughtful, serene, calm, reflective, peaceful","contemplative, hopeful, peaceful, serene, reflective"
gacs_advertisements_01_9G5luoju_scene_06,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_01_9G5luoju_scene_06.jpg,"prepared, active, focused, energetic","focused, energetic, anticipatory, concentrated, determined","focused, determined, prepared, anticipatory, sporty"
gacs_advertisements_01_DnWykPvf_scene_02,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_01_DnWykPvf_scene_02.jpg,"active, bright, industrious, urban, mundane","humorous, playful, creative, surreal, lighthearted","whimsical, surreal, commercial, ordinary, precarious"
gacs_advertisements_01_aDoT6K3B_scene_04,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_01_aDoT6K3B_scene_04.jpg,"happy, joyful, relaxed, playful","cheerful, relaxed, playful, sunny, carefree","cheerful, playful, carefree, lighthearted, relaxed"
gacs_advertisements_01_jBnseji3_scene_00,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_01_jBnseji3_scene_00.jpg,"active, intense, dynamic, focused","daring, energetic, thrilling, adventurous, dynamic","adventurous, daring, risky, focused, exhilarated"
gacs_advertisements_01_jBnseji3_scene_09,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_01_jBnseji3_scene_09.jpg,"inspiring, uplifting, joyful, hopeful, communal","joyful, celebratory, hopeful, supportive, inspirational","hopeful, proud, celebratory, optimistic, community"
gacs_advertisements_02_DsonSEll_scene_03,/home/jongcircle/dev/gacs0202/gacs_0202/data/scenes/gacs_advertisements_02_DsonSEll_scene_03.jpg,"desolate, rugged, powerful, adventurous","futuristic, adventurous, rugged, isolated, dramatic","adventurous, desolate, stark, futuristic, powerful"
