image_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,cluster,mood_text
gacs_advertisements_00_-P6q0A9K_scene_00,14.072502,7.7801266,-12.268731,2.8045745,-4.326004,8.142494,-1.683116,0.2550097,-6.0680714,-0.5447709,1.0857186,3.1270585,0.54812694,-2.3606882,3,"excited, informative, modern, sleek, optimistic"
gacs_advertisements_00_-P6q0A9K_scene_09,10.231106,2.9756436,-3.3895063,6.8526177,-6.7575226,1.160719,-6.019278,-0.94891304,-7.002498,1.6376476,-3.1900902,-1.6232167,-0.18257828,-0.0503437,3,"enthusiastic, informative, futuristic, sleek, modern"
gacs_advertisements_00_-avONMmQ_scene_05,16.963667,9.676138,2.8411524,-2.0544338,0.1553867,-3.212466,1.8361126,-0.68365914,4.365918,0.20830566,-4.646183,-2.4888427,-0.14419216,3.1893723,0,"whimsical, curious, serene, peaceful, innocent"
gacs_advertisements_00_-avONMmQ_scene_14,14.676054,6.1264,-16.1146,-8.082962,0.19331406,-3.1277924,4.4642777,4.539679,1.6894087,-0.16891268,-1.0356482,2.093244,-1.9514488,-1.5540364,3,"excited, joyful, chaotic, absurd, wild"
gacs_advertisements_00_fo4LLux-_scene_03,-23.818026,9.661453,4.1147203,3.4311929,1.6002549,-3.4484,-0.34371096,0.57652295,-1.7211503,0.9412358,1.5823536,-1.3044057,0.13533644,-3.5893466,1,"intense, focused, vulnerable, unsettling, intimate"
gacs_advertisements_00_fo4LLux-_scene_12,20.799522,1.883088,10.599733,-1.9800519,7.9376254,-2.9087052,-0.2960003,-3.4149296,3.038734,0.48220056,-1.4925585,-1.5110534,-1.0434266,-0.46733555,0,"contemplative, hopeful, peaceful, serene, reflective"
gacs_advertisements_01_9G5luoju_scene_06,10.169189,0.36303574,-4.674639,7.0927663,6.7705445,8.907331,-3.1555321,0.6113937,-0.45709485,-5.434346,-1.896903,1.1019949,0.29458874,-2.4293191,3,"focused, determined, prepared, anticipatory, sporty"
gacs_advertisements_01_DnWykPvf_scene_02,-15.681869,13.164202,-0.89419013,-2.4607694,-10.892824,-2.3864906,-2.055675,2.9279282,10.55897,-0.5437349,1.2930131,0.27910846,4.0944853,0.8842051,1,"whimsical, surreal, commercial, ordinary, precarious"
gacs_advertisements_01_aDoT6K3B_scene_04,20.850569,3.328713,0.83132166,-0.043477103,5.712713,-6.8463583,1.0070485,-0.49959508,-2.046051,2.412315,1.1015157,-2.8568072,2.4261315,1.3204256,0,"cheerful, playful, carefree, lighthearted, relaxed"
gacs_advertisements_01_jBnseji3_scene_00,10.124956,10.46294,-12.329968,-2.967873,1.8902042,2.6157289,-4.41264,7.7286687,3.0608737,-4.9933095,-6.557268,-2.5006921,3.100785,-3.8873415,3,"adventurous, daring, risky, focused, exhilarated"
gacs_advertisements_01_jBnseji3_scene_09,19.988516,11.628587,-10.345197,-5.5008645,-2.2729452,-0.1881181,1.2328786,2.9022357,-3.3247733,-2.9670174,3.4355953,4.8849835,-3.8152037,-1.0066688,3,"hopeful, proud, celebratory, optimistic, community"
gacs_advertisements_02_DsonSEll_scene_03,-11.128848,-7.254236,6.1376786,-4.931991,-12.944551,-4.115179,-6.043882,-5.8831425,0.20397098,-5.0429378,-3.5165536,-4.7148237,4.0175114,1.0110582,2,"adventurous, desolate, stark, futuristic, powerful"
gacs_advertisements_02_VGa1imAp_scene_01,16.934929,-3.20717,9.695172,5.8478956,8.794501,-2.9971914,1.9696314,1.9769919,2.724681,2.824672,-2.0544467,-0.48978314,2.020344,0.9066496,0,"contemplative, calm, artistic, observant, pensive"
gacs_advertisements_02_VGa1imAp_scene_10,20.968512,2.2309804,5.1901236,-0.24312593,3.957007,-1.8161429,0.08957598,-4.0308194,3.557994,1.2263917,-3.009446,-0.20595022,-2.1257565,-0.34960362,0,"serene, nostalgic, whimsical, cold, peaceful"
