original,normalized
cold somber natural quizzical cinematic realistic wintery raccoon squirrel snow trees branches,"mood: cold, somber, natural, quizzical. style: cinematic, realistic, wintery. objects: raccoon, squirrel, snow, trees, branches"
triumphant ecstatic joyful powerful dynamic realistic vibrant player racket court crowd sign,"mood: triumphant, ecstatic, joyful, powerful. style: dynamic, realistic, vibrant. objects: player, racket, court, crowd, sign"
dark blurry calm pensive nocturnal blurry nocturnal urban person hair lights city street,"mood: dark, blurry, calm, pensive, nocturnal. style: blurry, nocturnal, urban. objects: person, hair, lights, city, street"
vulnerable cute chaotic anxious determined animated cinematic charming bird sand water hills rocks,"mood: vulnerable, cute, chaotic, anxious, determined. style: animated, cinematic, charming. objects: bird, sand, water, hills, rocks"
peaceful curious gentle hopeful animated warm soft bird water mountains reflection pebble,"mood: peaceful, curious, gentle, hopeful. style: animated, warm, soft. objects: bird, water, mountains, reflection, pebble"
peaceful gentle curious tender animated cinematic realistic birds water beach shell rocks,"mood: peaceful, gentle, curious, tender. style: animated, cinematic, realistic. objects: birds, water, beach, shell, rocks"
peaceful serene tranquil charming gentle animated cinematic whimsical birds water beach shells rocks,"mood: peaceful, serene, tranquil, charming, gentle. style: animated, cinematic, whimsical. objects: birds, water, beach, shells, rocks"
peaceful curious vulnerable bright animated cinematic naturalistic birds water sky beach mountains,"mood: peaceful, curious, vulnerable, bright. style: animated, cinematic, naturalistic. objects: birds, water, sky, beach, mountains"
peaceful tranquil warm hopeful cinematic vibrant natural sun ocean beach waves bird,"mood: peaceful, tranquil, warm, hopeful. style: cinematic, vibrant, natural. objects: sun, ocean, beach, waves, bird"
inviting direct engaging functional digital clean modern text words background particles,"mood: inviting, direct, engaging, functional. style: digital, clean, modern. objects: text, words, background, particles"
encouraging positive uplifting inviting graphic digital bold text slogan typography,"mood: encouraging, positive, uplifting, inviting. style: graphic, digital, bold. objects: text, slogan, typography"
calm peaceful serene quiet ordinary animated illustrated quaint building street tree streetlight crosswalk,"mood: calm, peaceful, serene, quiet, ordinary. style: animated, illustrated, quaint. objects: building, street, tree, streetlight, crosswalk"
calm bright peaceful animated animated illustrative bright buildings windows sky streetlight palm tree,"mood: calm, bright, peaceful, animated. style: animated, illustrative, bright. objects: buildings, windows, sky, streetlight, palm tree"
calm peaceful dreamy serene light animated illustrated pastel buildings trees street text pole,"mood: calm, peaceful, dreamy, serene, light. style: animated, illustrated, pastel. objects: buildings, trees, street, text, pole"
tense serious concerned displeased realistic domestic naturalistic man sofa curtains vase flowers,"mood: tense, serious, concerned, displeased. style: realistic, domestic, naturalistic. objects: man, sofa, curtains, vase, flowers"
pensive thoughtful quiet subdued naturalistic soft-lit candid woman sofa curtains flowers vase,"mood: pensive, thoughtful, quiet, subdued. style: naturalistic, soft-lit, candid. objects: woman, sofa, curtains, flowers, vase"
pensive thoughtful subdued reflective realistic indoor natural woman earrings saree flowers vase,"mood: pensive, thoughtful, subdued, reflective. style: realistic, indoor, natural. objects: woman, earrings, saree, flowers, vase"
engaging serious calm thoughtful candid natural informal woman man sofa vase flowers,"mood: engaging, serious, calm, thoughtful. style: candid, natural, informal. objects: woman, man, sofa, vase, flowers"
surprised confused anxious concerned candid domestic naturalistic man couch curtains flowers frames,"mood: surprised, confused, anxious, concerned. style: candid, domestic, naturalistic. objects: man, couch, curtains, flowers, frames"
thoughtful pensive calm serious candid realistic portrait woman earrings flowers sari couch,"mood: thoughtful, pensive, calm, serious. style: candid, realistic, portrait. objects: woman, earrings, flowers, sari, couch"
serious concerned tense conversational domestic realistic candid domestic people sofa table handbag tablet,"mood: serious, concerned, tense, conversational, domestic. style: realistic, candid, domestic. objects: people, sofa, table, handbag, tablet"
concerned serious uneasy candid natural realistic man woman sofa flowers vase,"mood: concerned, serious, uneasy. style: candid, natural, realistic. objects: man, woman, sofa, flowers, vase"
thoughtful quiet neutral serious domestic naturalistic contemporary people couch coffee table curtains handbag,"mood: thoughtful, quiet, neutral, serious. style: domestic, naturalistic, contemporary. objects: people, couch, coffee table, curtains, handbag"
disengaged conversational domestic ordinary candid casual natural videographic man woman sofa phone flowers,"mood: disengaged, conversational, domestic, ordinary, candid. style: casual, natural, videographic. objects: man, woman, sofa, phone, flowers"
pensive calm somber contemplative realistic natural domestic woman sari sofa flowers curtain,"mood: pensive, calm, somber, contemplative. style: realistic, natural, domestic. objects: woman, sari, sofa, flowers, curtain"
tense strained somber concerned realistic candid natural man woman couch phone flowers,"mood: tense, strained, somber, concerned. style: realistic, candid, natural. objects: man, woman, couch, phone, flowers"
expressive engaged conversational intimate focused candid domestic realistic woman man sofa earrings flowers,"mood: expressive, engaged, conversational, intimate, focused. style: candid, domestic, realistic. objects: woman, man, sofa, earrings, flowers"
concerned expressive questioning earnest cinematic natural domestic woman earrings flowers vase sofa,"mood: concerned, expressive, questioning, earnest. style: cinematic, natural, domestic. objects: woman, earrings, flowers, vase, sofa"
displeased concerned uneasy serious candid domestic realistic woman earrings flowers vase couch,"mood: displeased, concerned, uneasy, serious. style: candid, domestic, realistic. objects: woman, earrings, flowers, vase, couch"
conversational domestic engaged tense realistic domestic modern people sofa coffee table saree curtains,"mood: conversational, domestic, engaged, tense. style: realistic, domestic, modern. objects: people, sofa, coffee table, saree, curtains"
pensive worried somber quiet domestic natural everyday woman couch saree vase flowers,"mood: pensive, worried, somber, quiet. style: domestic, natural, everyday. objects: woman, couch, saree, vase, flowers"
thoughtful concerned serious pensive cinematic naturalistic candid woman sofa vase flowers earring,"mood: thoughtful, concerned, serious, pensive. style: cinematic, naturalistic, candid. objects: woman, sofa, vase, flowers, earring"
sad concerned contemplative realistic bright candid woman sofa vase flowers frames,"mood: sad, concerned, contemplative. style: realistic, bright, candid. objects: woman, sofa, vase, flowers, frames"
attentive calm thoughtful observant realistic naturalistic soft woman couch flowers curtain vase,"mood: attentive, calm, thoughtful, observant. style: realistic, naturalistic, soft. objects: woman, couch, flowers, curtain, vase"
calm thoughtful domestic relaxed candid realistic soft-lit woman couch vase flowers curtains,"mood: calm, thoughtful, domestic, relaxed. style: candid, realistic, soft-lit. objects: woman, couch, vase, flowers, curtains"
tense serious somber uncomfortable realistic casual contemporary woman man couch flowers phone,"mood: tense, serious, somber, uncomfortable. style: realistic, casual, contemporary. objects: woman, man, couch, flowers, phone"
